month,tavg_f
1980-01,31.12
1980-02,32.85
1980-03,39.36
1980-04,51.42
1980-05,60.26
1980-06,68.72
1980-07,75.72
1980-08,72.77
1980-09,66.22
1980-10,52.59
1980-11,42.31
1980-12,35.19
1981-01,32.41
1981-02,36.57
1981-03,42.85
1981-04,55.11
1981-05,58.95
1981-06,69.8
1981-07,73.92
1981-08,72.09
1981-09,64.9
1981-10,52.3
1981-11,44.73
1981-12,33.66
1982-01,26.22
1982-02,32.59
1982-03,42.01
1982-04,48.61
1982-05,60.78
1982-06,66.31
1982-07,73.18
1982-08,72.05
1982-09,64.02
1982-10,53.24
1982-11,41.13
1982-12,35.82
1983-01,33.12
1983-02,36.86
1983-03,42.39
1983-04,46.99
1983-05,57.94
1983-06,67.06
1983-07,73.96
1983-08,75.04
1983-09,65.57
1983-10,54.99
1983-11,43.02
1983-12,25.48
1984-01,28.83
1984-02,37.38
1984-03,40.08
1984-04,49.59
1984-05,60.06
1984-06,68.59
1984-07,73.15
1984-08,73.11
1984-09,63.12
1984-10,53.6
1984-11,41.54
1984-12,34.54
1985-01,26.31
1985-02,30.87
1985-03,43.48
1985-04,54.34
1985-05,62.06
1985-06,68.09
1985-07,74.03
1985-08,71.01
1985-09,62.71
1985-10,54.28
1985-11,39.51
1985-12,28.81
1986-01,34.68
1986-02,35.85
1986-03,46.18
1986-04,52.86
1986-05,61.07
1986-06,70.39
1986-07,73.49
1986-08,71.69
1986-09,63.68
1986-10,54.0
1986-11,41.4
1986-12,34.43
1987-01,31.44
1987-02,37.38
1987-03,42.55
1987-04,53.51
1987-05,62.94
1987-06,70.23
1987-07,73.24
1987-08,71.85
1987-09,65.23
1987-10,52.95
1987-11,43.97
1987-12,34.54
1988-01,27.79
1988-02,33.69
1988-03,42.4
1988-04,51.8
1988-05,61.2
1988-06,70.84
1988-07,74.77
1988-08,73.65
1988-09,64.58
1988-10,53.94
1988-11,43.29
1988-12,33.46
1989-01,34.09
1989-02,29.17
1989-03,42.67
1989-04,52.86
1989-05,60.44
1989-06,68.11
1989-07,74.19
1989-08,71.29
1989-09,64.06
1989-10,54.34
1989-11,42.91
1989-12,27.73
1990-01,36.48
1990-02,36.7
1990-03,44.74
1990-04,52.5
1990-05,58.86
1990-06,70.21
1990-07,73.24
1990-08,72.25
1990-09,67.33
1990-10,53.96
1990-11,44.92
1990-12,30.83
1991-01,29.5
1991-02,39.81
1991-03,43.32
1991-04,52.52
1991-05,61.95
1991-06,69.04
1991-07,73.87
1991-08,72.97
1991-09,64.89
1991-10,54.73
1991-11,39.43
1991-12,35.73
1992-01,33.62
1992-02,39.69
1992-03,44.69
1992-04,52.52
1992-05,61.14
1992-06,67.41
1992-07,71.2
1992-08,69.82
1992-09,64.65
1992-10,54.52
1992-11,40.06
1992-12,31.75
1993-01,30.47
1993-02,31.14
1993-03,41.79
1993-04,49.89
1993-05,60.87
1993-06,67.19
1993-07,72.12
1993-08,71.87
1993-09,63.28
1993-10,52.95
1993-11,39.2
1993-12,34.2
1994-01,29.34
1994-02,31.87
1994-03,44.51
1994-04,52.66
1994-05,60.66
1994-06,70.93
1994-07,73.6
1994-08,72.18
1994-09,65.53
1994-10,54.19
1994-11,42.55
1994-12,36.23
1995-01,33.08
1995-02,37.36
1995-03,43.34
1995-04,49.41
1995-05,58.62
1995-06,67.53
1995-07,73.53
1995-08,74.3
1995-09,64.67
1995-10,54.45
1995-11,42.03
1995-12,33.42
1996-01,29.7
1996-02,35.69
1996-03,39.02
1996-04,50.65
1996-05,60.96
1996-06,69.84
1996-07,73.62
1996-08,72.41
1996-09,63.45
1996-10,53.64
1996-11,39.63
1996-12,33.91
1997-01,29.97
1997-02,36.05
1997-03,44.65
1997-04,47.91
1997-05,59.38
1997-06,68.29
1997-07,73.17
1997-08,71.73
1997-09,66.4
1997-10,53.91
1997-11,40.86
1997-12,34.0
1998-01,34.99
1998-02,38.71
1998-03,41.32
1998-04,51.06
1998-05,62.46
1998-06,68.11
1998-07,75.45
1998-08,73.99
1998-09,68.95
1998-10,55.11
1998-11,44.89
1998-12,35.55
1999-01,33.78
1999-02,39.49
1999-03,42.78
1999-04,51.55
1999-05,60.04
1999-06,68.29
1999-07,74.28
1999-08,72.88
1999-09,64.33
1999-10,54.75
1999-11,48.11
1999-12,36.1
2000-01,33.57
2000-02,39.78
2000-03,46.02
2000-04,52.57
2000-05,63.12
2000-06,69.01
2000-07,73.85
2000-08,74.01
2000-09,65.55
2000-10,55.08
2000-11,38.01
2000-12,28.44
2001-01,31.37
2001-02,33.96
2001-03,41.47
2001-04,53.08
2001-05,62.8
2001-06,69.21
2001-07,74.44
2001-08,74.28
2001-09,65.68
2001-10,54.36
2001-11,47.39
2001-12,36.12
2002-01,34.48
2002-02,36.39
2002-03,39.54
2002-04,53.49
2002-05,59.27
2002-06,70.84
2002-07,75.83
2002-08,72.82
2002-09,66.83
2002-10,51.82
2002-11,41.95
2002-12,35.08
2003-01,32.81
2003-02,32.79
2003-03,43.29
2003-04,51.89
2003-05,60.96
2003-06,68.02
2003-07,75.43
2003-08,74.62
2003-09,64.94
2003-10,56.53
2003-11,42.35
2003-12,35.29
2004-01,30.36
2004-02,33.57
2004-03,47.39
2004-04,52.66
2004-05,61.9
2004-06,68.05
2004-07,72.88
2004-08,70.14
2004-09,65.64
2004-10,55.35
2004-11,43.99
2004-12,35.06
2005-01,33.39
2005-02,37.94
2005-03,42.31
2005-04,52.25
2005-05,59.54
2005-06,69.19
2005-07,75.29
2005-08,73.18
2005-09,67.35
2005-10,55.36
2005-11,45.0
2005-12,32.7
2006-01,38.93
2006-02,34.83
2006-03,42.6
2006-04,55.24
2006-05,62.26
2006-06,70.74
2006-07,76.39
2006-08,73.38
2006-09,63.28
2006-10,52.57
2006-11,44.08
2006-12,36.57
2007-01,31.35
2007-02,32.41
2007-03,47.64
2007-04,50.54
2007-05,62.31
2007-06,69.85
2007-07,74.68
2007-08,74.62
2007-09,66.42
2007-10,56.66
2007-11,43.99
2007-12,33.22
2008-01,30.27
2008-02,34.7
2008-03,41.86
2008-04,50.38
2008-05,59.34
2008-06,69.58
2008-07,74.05
2008-08,72.25
2008-09,65.19
2008-10,53.98
