date,value
1980-01,-0.02
1980-02,0.92
1980-03,6.21
1980-04,-1.07
1980-05,7.57
1980-06,3.96
1980-07,-9.01
1980-08,-4.16
1980-09,3.14
1980-10,-6.05
1980-11,2.64
1980-12,6.72
1981-01,-0.71
1981-02,6.83
1981-03,6.46
1981-04,0.25
1981-05,0.35
1981-06,1.32
1981-07,2.50
1981-08,-6.51
1981-09,-0.15
1981-10,-7.03
1981-11,-1.05
1981-12,-0.49
1982-01,-7.68
1982-02,-5.19
1982-03,-1.29
1982-04,10.22
1982-05,-5.74
1982-06,1.06
1982-07,-3.52
1982-08,-1.19
1982-09,4.93
1982-10,1.90
1982-11,2.42
1982-12,2.70
1983-01,3.09
1983-02,-9.23
1983-03,2.24
1983-04,0.12
1983-05,2.29
1983-06,4.26
1983-07,2.37
1983-08,3.61
1983-09,-4.77
1983-10,2.52
1983-11,0.01
1983-12,0.11
1984-01,6.35
1984-02,-1.70
1984-03,-2.50
1984-04,-5.41
1984-05,-0.83
1984-06,5.32
1984-07,-7.01
1984-08,1.63
1984-09,-10.90
1984-10,-2.61
1984-11,2.47
1984-12,-1.92
1985-01,-4.91
1985-02,-1.16
1985-03,4.95
1985-04,7.21
1985-05,7.30
1985-06,3.57
1985-07,2.12
1985-08,4.94
1985-09,-4.70
1985-10,-3.86
1985-11,6.31
1985-12,4.35
1986-01,4.44
1986-02,1.50
1986-03,-3.21
1986-04,-4.36
1986-05,4.72
1986-06,5.37
1986-07,-4.54
1986-08,-2.83
1986-09,0.04
1986-10,4.44
1986-11,-1.03
1986-12,-3.34
1987-01,4.95
1987-02,3.19
1987-03,-2.62
1987-04,-2.47
1987-05,5.49
1987-06,-5.26
1987-07,-0.82
1987-08,2.52
1987-09,1.24
1987-10,4.68
1987-11,-7.20
1987-12,0.58
1988-01,1.86
1988-02,2.00
1988-03,3.10
1988-04,-4.75
1988-05,7.00
1988-06,2.54
1988-07,3.02
1988-08,-2.10
1988-09,1.31
1988-10,6.49
1988-11,0.43
1988-12,1.38
1989-01,1.93
1989-02,-6.85
1989-03,-0.28
1989-04,3.62
1989-05,-1.70
1989-06,0.31
1989-07,0.35
1989-08,-6.61
1989-09,4.12
1989-10,-5.59
1989-11,2.40
1989-12,-0.10
1990-01,-1.04
1990-02,0.80
1990-03,3.89
1990-04,4.16
1990-05,-1.44
1990-06,-0.24
1990-07,-3.37
1990-08,-6.08
1990-09,4.78
1990-10,-4.44
1990-11,-2.81
1990-12,2.21
1991-01,-5.56
1991-02,2.66
1991-03,-3.30
1991-04,-4.61
1991-05,-2.11
1991-06,-3.33
1991-07,1.56
1991-08,6.88
1991-09,3.53
1991-10,2.59
1991-11,-2.27
1991-12,-0.59
1992-01,0.92
1992-02,0.16
1992-03,1.06
1992-04,-5.00
1992-05,8.33
1992-06,-5.67
1992-07,-0.33
1992-08,4.04
1992-09,-3.05
1992-10,5.03
1992-11,-6.05
1992-12,-3.05
1993-01,-10.29
1993-02,4.93
1993-03,-5.10
1993-04,-2.85
1993-05,3.70
1993-06,1.80
1993-07,5.03
1993-08,3.15
1993-09,4.24
1993-10,-1.93
1993-11,-0.16
1993-12,3.55
1994-01,3.61
1994-02,4.48
1994-03,-3.23
1994-04,-4.71
1994-05,-5.43
1994-06,-1.91
1994-07,-0.24
1994-08,-5.15
1994-09,-0.61
1994-10,3.06
1994-11,4.67
1994-12,-2.43
1995-01,2.77
1995-02,-5.53
1995-03,-2.76
1995-04,0.69
1995-05,-2.69
1995-06,-3.29
1995-07,1.42
1995-08,-4.25
1995-09,0.71
1995-10,-0.27
1995-11,2.50
1995-12,3.61
1996-01,0.81
1996-02,-2.03
1996-03,4.74
1996-04,1.09
1996-05,-3.76
1996-06,0.98
1996-07,-2.55
1996-08,-11.16
1996-09,-4.11
1996-10,-1.50
1996-11,-1.86
1996-12,-6.72
1997-01,-1.37
1997-02,2.12
1997-03,-4.93
1997-04,1.35
1997-05,-8.92
1997-06,2.47
1997-07,-2.35
1997-08,-5.83
1997-09,5.18
1997-10,2.28
1997-11,4.46
1997-12,1.58
1998-01,1.75
1998-02,-1.54
1998-03,2.08
1998-04,-0.19
1998-05,-2.69
1998-06,-0.67
1998-07,-5.55
1998-08,0.06
1998-09,2.15
1998-10,0.74
1998-11,2.72
1998-12,-1.22
1999-01,0.32
1999-02,0.30
1999-03,8.82
1999-04,-5.65
1999-05,9.22
1999-06,-3.09
1999-07,-1.33
1999-08,1.42
1999-09,2.77
1999-10,0.06
1999-11,1.18
1999-12,6.41
2000-01,11.81
2000-02,2.02
2000-03,3.31
2000-04,-0.25
2000-05,7.61
2000-06,-0.31
2000-07,2.47
2000-08,-4.46
2000-09,-11.66
2000-10,10.33
2000-11,4.97
2000-12,4.30
2001-01,-3.94
2001-02,-7.05
2001-03,-0.84
2001-04,0.74
2001-05,3.43
2001-06,0.27
2001-07,5.92
2001-08,1.77
2001-09,1.60
2001-10,5.40
2001-11,-2.75
2001-12,1.94
2002-01,-2.25
2002-02,-2.78
2002-03,6.96
2002-04,5.09
2002-05,2.61
2002-06,6.06
2002-07,1.90
2002-08,6.26
2002-09,-3.53
2002-10,-0.41
2002-11,1.95
2002-12,-4.23
2003-01,-2.74
2003-02,-5.27
2003-03,3.27
2003-04,-1.81
2003-05,1.46
2003-06,2.59
2003-07,-0.44
2003-08,0.36
2003-09,0.87
2003-10,2.15
2003-11,6.23
2003-12,-4.62
2004-01,0.67
2004-02,-5.06
2004-03,6.70
2004-04,-7.86
2004-05,1.01
2004-06,-1.58
2004-07,-2.28
2004-08,3.43
2004-09,2.62
2004-10,-3.98
2004-11,2.32
2004-12,1.54
2005-01,-3.05
2005-02,-6.20
2005-03,3.77
2005-04,3.34
2005-05,2.55
2005-06,-2.09
2005-07,5.62
2005-08,15.50
2005-09,0.95
2005-10,2.59
2005-11,-3.39
2005-12,-3.36
2006-01,8.02
2006-02,10.31
2006-03,-0.89
2006-04,-2.71
2006-05,-3.90
2006-06,-2.52
2006-07,0.42
2006-08,-5.37
2006-09,-2.98
2006-10,4.38
2006-11,-0.59
2006-12,-3.33
2007-01,-5.09
2007-02,4.91
2007-03,-4.54
2007-04,-0.51
2007-05,4.59
2007-06,2.53
2007-07,1.42
2007-08,1.47
2007-09,-4.11
2007-10,-3.09
2007-11,-1.95
2007-12,-12.71
2008-01,-1.74
2008-02,-0.32
2008-03,-0.25
2008-04,-0.43
2008-05,1.04
2008-06,1.33
2008-07,7.44
2008-08,0.83
2008-09,3.95
2008-10,-2.52
2008-11,1.61
2008-12,1.45
2009-01,-0.86
2009-02,-7.49
2009-03,-5.86
2009-04,2.18
2009-05,-0.06
2009-06,-0.92
2009-07,-2.86
2009-08,0.59
2009-09,2.76
2009-10,8.53
2009-11,0.15
2009-12,-0.56
2010-01,1.45
2010-02,5.46
2010-03,10.59
2010-04,2.77
2010-05,-6.19
2010-06,0.38
2010-07,-4.81
2010-08,-4.04
2010-09,8.41
2010-10,-1.26
2010-11,-2.90
2010-12,6.46
2011-01,0.67
2011-02,-4.76
2011-03,0.60
2011-04,-5.92
2011-05,-3.51
2011-06,1.19
2011-07,-11.09
2011-08,3.57
2011-09,1.51
2011-10,4.15
2011-11,-1.38
2011-12,2.28
2012-01,-4.05
2012-02,-3.75
2012-03,0.86
2012-04,0.52
2012-05,0.36
2012-06,6.47
2012-07,-0.82
2012-08,2.43
2012-09,1.96
2012-10,1.12
2012-11,2.26
2012-12,-7.37
2013-01,-2.08
2013-02,5.37
2013-03,-0.90
2013-04,3.55
2013-05,2.54
2013-06,-13.26
2013-07,-5.47
2013-08,-2.58
2013-09,-2.65
2013-10,-1.60
2013-11,-1.53
2013-12,-3.25
2014-01,-2.58
2014-02,-8.37
2014-03,9.12
2014-04,6.65
2014-05,4.33
2014-06,0.02
2014-07,-3.70
2014-08,11.35
2014-09,-3.85
2014-10,6.82
2014-11,1.77
2014-12,-3.72
2015-01,-3.29
2015-02,-1.51
2015-03,-2.43
2015-04,-5.99
2015-05,2.28
2015-06,-3.76
2015-07,3.81
2015-08,-0.43
2015-09,1.01
2015-10,0.89
2015-11,-1.37
2015-12,-0.07
2016-01,1.15
2016-02,10.76
2016-03,-5.42
2016-04,-2.80
2016-05,-1.38
2016-06,-5.31
2016-07,-5.66
2016-08,-6.65
2016-09,0.03
2016-10,-2.13
2016-11,1.03
2016-12,-6.16
2017-01,-3.75
2017-02,4.36
2017-03,3.63
2017-04,-6.77
2017-05,3.95
2017-06,-2.24
2017-07,-4.76
2017-08,3.49
2017-09,4.26
2017-10,-11.01
2017-11,4.08
2017-12,-2.07
2018-01,-2.20
2018-02,-1.54
2018-03,4.94
2018-04,5.76
2018-05,1.59
2018-06,3.56
2018-07,9.61
2018-08,-0.07
2018-09,-4.55
2018-10,2.36
2018-11,3.17
2018-12,-0.70
2019-01,-0.85
2019-02,9.66
2019-03,-1.14
2019-04,-3.99
2019-05,-12.03
2019-06,3.71
2019-07,5.76
2019-08,-5.21
2019-09,2.67
2019-10,-1.47
2019-11,0.36
2019-12,-2.57
