date,value
1980-01,-5.91
1980-02,1.26
1980-03,1.91
1980-04,4.38
1980-05,-4.68
1980-06,2.21
1980-07,-0.06
1980-08,7.19
1980-09,-2.84
1980-10,-4.50
1980-11,2.75
1980-12,-3.35
1981-01,-5.32
1981-02,4.60
1981-03,2.44
1981-04,-13.50
1981-05,-3.64
1981-06,-4.49
1981-07,3.40
1981-08,7.13
1981-09,9.76
1981-10,3.68
1981-11,-4.43
1981-12,-4.59
1982-01,-3.79
1982-02,2.70
1982-03,6.19
1982-04,-8.13
1982-05,3.24
1982-06,4.68
1982-07,1.92
1982-08,15.06
1982-09,2.91
1982-10,0.65
1982-11,3.25
1982-12,-1.95
1983-01,-4.45
1983-02,2.40
1983-03,5.69
1983-04,-0.56
1983-05,4.67
1983-06,-1.19
1983-07,7.84
1983-08,1.47
1983-09,2.90
1983-10,3.95
1983-11,-5.58
1983-12,-0.32
1984-01,8.78
1984-02,0.66
1984-03,6.81
1984-04,4.48
1984-05,-7.72
1984-06,3.68
1984-07,-4.40
1984-08,1.68
1984-09,-1.37
1984-10,0.60
1984-11,0.18
1984-12,1.59
1985-01,-1.52
1985-02,-5.58
1985-03,-4.04
1985-04,4.62
1985-05,8.26
1985-06,1.55
1985-07,4.29
1985-08,4.90
1985-09,-5.65
1985-10,-7.93
1985-11,0.27
1985-12,-8.02
1986-01,-0.73
1986-02,-6.15
1986-03,-2.31
1986-04,-2.88
1986-05,2.84
1986-06,-2.41
1986-07,-4.66
1986-08,0.72
1986-09,13.85
1986-10,2.72
1986-11,-8.25
1986-12,0.91
1987-01,12.07
1987-02,1.26
1987-03,6.26
1987-04,5.50
1987-05,5.85
1987-06,5.23
1987-07,1.77
1987-08,-0.33
1987-09,-0.75
1987-10,1.04
1987-11,2.42
1987-12,-5.24
1988-01,-0.76
1988-02,0.32
1988-03,0.99
1988-04,-0.89
1988-05,4.13
1988-06,0.03
1988-07,-1.19
1988-08,-5.07
1988-09,-3.00
1988-10,1.53
1988-11,1.04
1988-12,-8.67
1989-01,4.66
1989-02,-2.66
1989-03,-3.56
1989-04,5.52
1989-05,5.74
1989-06,-2.70
1989-07,-1.10
1989-08,-5.01
1989-09,4.16
1989-10,4.57
1989-11,-1.47
1989-12,6.76
1990-01,4.63
1990-02,-0.06
1990-03,3.75
1990-04,-6.95
1990-05,-0.68
1990-06,1.63
1990-07,0.45
1990-08,9.72
1990-09,1.90
1990-10,2.15
1990-11,-5.48
1990-12,-0.34
1991-01,-3.03
1991-02,11.07
1991-03,-1.37
1991-04,1.04
1991-05,5.97
1991-06,3.45
1991-07,-5.85
1991-08,3.37
1991-09,3.70
1991-10,-0.32
1991-11,2.59
1991-12,0.97
1992-01,-5.73
1992-02,-2.04
1992-03,0.59
1992-04,-2.14
1992-05,2.93
1992-06,5.01
1992-07,1.73
1992-08,-1.18
1992-09,6.63
1992-10,1.12
1992-11,2.09
1992-12,-2.94
1993-01,-0.48
1993-02,4.99
1993-03,3.85
1993-04,-0.34
1993-05,0.54
1993-06,1.40
1993-07,-3.74
1993-08,-0.33
1993-09,-1.80
1993-10,-5.74
1993-11,1.18
1993-12,-0.15
1994-01,-6.09
1994-02,-3.08
1994-03,0.11
1994-04,-12.51
1994-05,1.33
1994-06,1.70
1994-07,3.42
1994-08,-2.18
1994-09,-5.90
1994-10,3.33
1994-11,-5.69
1994-12,2.93
1995-01,-2.54
1995-02,-4.05
1995-03,1.82
1995-04,5.55
1995-05,-0.21
1995-06,-0.61
1995-07,-7.10
1995-08,4.24
1995-09,0.83
1995-10,-0.72
1995-11,6.39
1995-12,-6.55
1996-01,-1.77
1996-02,0.52
1996-03,-0.83
1996-04,-10.46
1996-05,2.07
1996-06,0.36
1996-07,5.05
1996-08,9.68
1996-09,-0.35
1996-10,2.23
1996-11,1.64
1996-12,1.26
1997-01,-0.12
1997-02,2.24
1997-03,5.58
1997-04,-3.32
1997-05,9.05
1997-06,2.78
1997-07,1.86
1997-08,-9.62
1997-09,0.45
1997-10,-3.89
1997-11,3.08
1997-12,4.80
1998-01,5.67
1998-02,-0.25
1998-03,0.16
1998-04,2.47
1998-05,-8.94
1998-06,-1.45
1998-07,-1.94
1998-08,2.84
1998-09,-1.56
1998-10,3.85
1998-11,-0.37
1998-12,4.35
1999-01,10.48
1999-02,7.51
1999-03,4.76
1999-04,5.65
1999-05,-1.15
1999-06,-2.97
1999-07,-3.31
