date,value
1980-01,-3.07
1980-02,1.58
1980-03,-8.03
1980-04,6.78
1980-05,3.37
1980-06,-0.81
1980-07,-0.90
1980-08,1.87
1980-09,-0.70
1980-10,-0.52
1980-11,3.74
1980-12,2.82
1981-01,0.21
1981-02,0.12
1981-03,1.22
1981-04,-2.26
1981-05,-1.32
1981-06,2.97
1981-07,-0.09
1981-08,-5.68
1981-09,-1.65
1981-10,3.45
1981-11,-0.55
1981-12,-0.17
1982-01,3.39
1982-02,8.71
1982-03,-2.71
1982-04,6.57
1982-05,-5.04
1982-06,1.29
1982-07,-4.76
1982-08,6.58
1982-09,4.25
1982-10,5.62
1982-11,-3.48
1982-12,3.58
1983-01,-1.84
1983-02,-1.56
1983-03,2.78
1983-04,4.45
1983-05,1.42
1983-06,-2.33
1983-07,-3.22
1983-08,7.00
1983-09,3.17
1983-10,3.74
1983-11,10.33
1983-12,-3.17
1984-01,12.02
1984-02,14.68
1984-03,7.78
1984-04,4.22
1984-05,-2.49
1984-06,4.98
1984-07,-1.49
1984-08,0.40
1984-09,-0.81
1984-10,1.78
1984-11,6.30
1984-12,-2.00
1985-01,-3.93
1985-02,-4.01
1985-03,-3.86
1985-04,-5.94
1985-05,-3.61
1985-06,6.32
1985-07,-2.17
1985-08,1.66
1985-09,-4.98
1985-10,1.26
1985-11,-7.33
1985-12,-2.64
1986-01,10.65
1986-02,-2.12
1986-03,5.54
1986-04,2.55
1986-05,-0.19
1986-06,-2.43
1986-07,6.29
1986-08,-0.30
1986-09,7.37
1986-10,-2.74
1986-11,0.76
1986-12,2.59
1987-01,2.18
1987-02,-5.05
1987-03,-2.49
1987-04,-0.38
1987-05,-3.34
1987-06,3.55
1987-07,3.15
1987-08,-8.31
1987-09,-7.62
1987-10,-5.27
1987-11,1.03
1987-12,9.65
1988-01,-1.22
1988-02,1.63
1988-03,-4.28
1988-04,-4.21
1988-05,-8.31
1988-06,0.37
1988-07,4.76
1988-08,-1.11
1988-09,6.78
1988-10,1.39
1988-11,0.34
1988-12,2.83
1989-01,2.69
1989-02,5.67
1989-03,-3.11
1989-04,-9.80
1989-05,1.02
1989-06,-2.25
1989-07,0.38
1989-08,7.99
1989-09,-4.46
1989-10,3.94
1989-11,4.76
1989-12,2.57
1990-01,5.53
1990-02,-1.56
1990-03,-2.57
1990-04,5.18
1990-05,3.74
1990-06,6.76
1990-07,1.46
1990-08,7.81
1990-09,-0.77
1990-10,-4.27
1990-11,-8.67
1990-12,-4.46
1991-01,4.18
1991-02,-6.09
1991-03,-1.54
1991-04,9.98
1991-05,4.31
1991-06,8.56
1991-07,-3.96
1991-08,-10.57
1991-09,7.32
1991-10,-5.88
1991-11,0.91
1991-12,1.48
1992-01,-3.77
1992-02,7.49
1992-03,7.47
1992-04,2.98
1992-05,0.37
1992-06,1.36
1992-07,-4.43
1992-08,-0.58
1992-09,0.03
1992-10,-3.34
1992-11,4.32
1992-12,-5.92
1993-01,-1.54
1993-02,-9.64
1993-03,2.74
1993-04,3.84
1993-05,3.30
1993-06,13.63
1993-07,4.73
1993-08,-3.74
1993-09,12.49
1993-10,-3.64
1993-11,4.05
1993-12,3.84
1994-01,-3.46
1994-02,6.78
1994-03,2.10
1994-04,3.07
1994-05,-2.54
1994-06,6.36
1994-07,-3.37
1994-08,-7.51
1994-09,6.91
1994-10,-1.42
1994-11,0.70
1994-12,9.15
1995-01,5.61
1995-02,3.35
1995-03,5.31
1995-04,-2.77
1995-05,3.89
1995-06,5.49
1995-07,3.90
1995-08,-0.42
1995-09,-16.36
1995-10,3.01
1995-11,1.02
1995-12,-1.16
1996-01,4.00
1996-02,1.70
1996-03,1.42
1996-04,-6.18
1996-05,-6.07
1996-06,2.17
1996-07,0.84
1996-08,1.12
1996-09,1.25
1996-10,2.35
1996-11,0.66
1996-12,1.21
1997-01,1.65
1997-02,4.68
1997-03,-1.82
1997-04,4.04
1997-05,3.36
1997-06,0.97
1997-07,-1.64
1997-08,2.16
1997-09,4.39
1997-10,-4.34
1997-11,0.78
1997-12,0.79
1998-01,-2.48
1998-02,-2.29
1998-03,-6.48
1998-04,-4.46
1998-05,-6.42
1998-06,-2.27
1998-07,-2.02
1998-08,-1.94
1998-09,2.17
1998-10,-0.34
1998-11,-2.78
1998-12,-2.75
1999-01,-4.59
1999-02,-0.38
1999-03,-0.46
1999-04,7.80
1999-05,7.40
1999-06,7.15
1999-07,9.86
1999-08,-4.98
1999-09,3.53
1999-10,3.92
1999-11,2.64
1999-12,10.07
2000-01,11.92
2000-02,4.91
2000-03,3.44
2000-04,-4.55
2000-05,-4.54
2000-06,3.65
2000-07,0.16
2000-08,-5.49
2000-09,-0.06
2000-10,2.12
2000-11,4.71
2000-12,0.02
2001-01,-0.71
2001-02,0.53
2001-03,1.28
2001-04,-4.73
2001-05,4.25
2001-06,10.36
2001-07,4.16
2001-08,-6.02
2001-09,0.93
2001-10,-7.45
2001-11,-7.73
2001-12,3.47
2002-01,0.85
2002-02,-2.59
2002-03,-8.89
2002-04,-5.21
