date,value
1980-01,49.48
1980-02,53.86
1980-03,47.00
1980-04,46.17
1980-05,44.52
1980-06,55.18
1980-07,45.40
1980-08,52.67
1980-09,43.36
1980-10,38.93
1980-11,46.77
1980-12,50.74
1981-01,54.98
1981-02,53.54
1981-03,51.18
1981-04,37.14
1981-05,51.98
1981-06,42.20
1981-07,46.10
1981-08,58.50
1981-09,54.58
1981-10,44.21
1981-11,47.87
1981-12,53.53
1982-01,48.87
1982-02,48.54
1982-03,44.02
1982-04,52.30
1982-05,52.96
1982-06,45.65
1982-07,39.52
1982-08,58.65
1982-09,46.14
1982-10,51.72
1982-11,45.39
1982-12,45.94
1983-01,54.43
1983-02,48.08
1983-03,53.51
1983-04,53.63
1983-05,47.11
1983-06,51.14
1983-07,53.54
1983-08,55.88
1983-09,48.36
1983-10,49.74
1983-11,45.02
1983-12,53.60
1984-01,50.21
1984-02,43.07
1984-03,47.97
1984-04,49.15
1984-05,46.79
1984-06,46.14
1984-07,41.59
1984-08,50.23
1984-09,47.63
1984-10,54.31
1984-11,49.23
1984-12,53.93
1985-01,43.81
1985-02,51.64
1985-03,53.38
1985-04,53.46
1985-05,48.40
1985-06,45.36
1985-07,58.10
1985-08,48.83
1985-09,43.86
1985-10,48.76
1985-11,51.46
1985-12,46.28
1986-01,51.88
1986-02,54.31
1986-03,49.63
1986-04,54.89
1986-05,49.28
1986-06,47.53
1986-07,57.76
1986-08,53.02
1986-09,50.43
1986-10,40.93
1986-11,43.01
1986-12,41.58
1987-01,49.67
1987-02,49.73
1987-03,51.94
1987-04,55.03
1987-05,42.28
1987-06,43.18
1987-07,45.32
1987-08,52.15
1987-09,51.32
1987-10,44.70
1987-11,46.38
1987-12,51.77
1988-01,50.21
1988-02,54.93
1988-03,45.83
1988-04,49.18
1988-05,44.93
1988-06,55.60
1988-07,54.98
1988-08,52.30
1988-09,54.73
1988-10,56.74
1988-11,57.14
1988-12,58.36
1989-01,46.35
1989-02,45.96
1989-03,56.34
1989-04,47.84
1989-05,41.17
1989-06,47.70
1989-07,55.05
1989-08,47.65
1989-09,53.78
1989-10,51.50
1989-11,43.28
1989-12,52.23
1990-01,50.04
1990-02,47.25
1990-03,42.86
1990-04,57.97
1990-05,45.44
1990-06,39.82
1990-07,54.15
1990-08,47.76
1990-09,55.90
1990-10,49.46
1990-11,49.91
1990-12,52.91
1991-01,50.57
1991-02,50.55
1991-03,55.39
1991-04,45.48
1991-05,52.76
1991-06,51.42
1991-07,41.98
1991-08,55.53
1991-09,53.83
1991-10,57.67
1991-11,47.82
1991-12,44.51
1992-01,65.32
1992-02,44.92
1992-03,46.04
1992-04,52.77
1992-05,47.84
1992-06,52.06
1992-07,43.38
1992-08,41.52
1992-09,47.26
1992-10,53.36
1992-11,49.84
1992-12,55.97
1993-01,48.69
1993-02,50.94
1993-03,45.47
1993-04,42.70
1993-05,43.94
1993-06,46.03
1993-07,59.81
1993-08,43.58
1993-09,45.60
1993-10,56.84
1993-11,46.67
1993-12,52.94
1994-01,38.62
1994-02,45.15
1994-03,52.55
1994-04,41.51
1994-05,50.89
1994-06,50.16
1994-07,47.18
1994-08,48.62
1994-09,53.51
1994-10,49.72
1994-11,54.90
1994-12,53.88
1995-01,57.67
1995-02,47.87
1995-03,50.83
1995-04,44.71
1995-05,53.07
1995-06,46.42
1995-07,53.06
1995-08,48.58
1995-09,49.12
1995-10,51.12
1995-11,46.27
1995-12,46.63
1996-01,46.86
1996-02,47.26
1996-03,53.07
1996-04,48.02
1996-05,47.09
1996-06,54.05
1996-07,53.39
1996-08,49.15
1996-09,62.23
1996-10,44.70
1996-11,57.96
1996-12,51.22
1997-01,54.94
1997-02,48.42
1997-03,55.75
1997-04,45.00
1997-05,53.90
1997-06,51.22
1997-07,54.42
1997-08,47.50
1997-09,52.03
1997-10,46.01
1997-11,48.13
1997-12,48.69
1998-01,46.90
1998-02,47.48
1998-03,43.82
1998-04,49.30
1998-05,57.17
1998-06,64.11
1998-07,45.75
1998-08,46.15
1998-09,51.61
1998-10,52.43
1998-11,43.49
1998-12,38.44
1999-01,51.24
1999-02,56.62
1999-03,57.04
1999-04,49.91
1999-05,56.90
1999-06,49.11
1999-07,42.98
1999-08,49.29
1999-09,55.12
1999-10,50.60
1999-11,47.13
1999-12,50.23
2000-01,51.64
2000-02,50.65
2000-03,51.47
2000-04,51.85
2000-05,55.30
2000-06,50.62
2000-07,49.20
2000-08,51.75
2000-09,52.92
2000-10,41.26
2000-11,55.69
2000-12,58.44
2001-01,50.10
2001-02,53.04
2001-03,46.28
2001-04,53.33
2001-05,45.72
2001-06,50.87
2001-07,52.85
2001-08,46.04
2001-09,44.44
2001-10,48.25
2001-11,47.16
2001-12,48.36
2002-01,44.48
2002-02,55.39
2002-03,48.62
2002-04,52.18
2002-05,41.84
2002-06,47.03
2002-07,57.94
2002-08,45.58
2002-09,51.39
2002-10,60.41
2002-11,49.96
2002-12,57.49
2003-01,45.49
2003-02,47.57
2003-03,49.66
2003-04,47.26
2003-05,51.67
2003-06,41.08
2003-07,44.66
2003-08,56.50
2003-09,50.56
2003-10,52.39
2003-11,58.36
2003-12,41.23
2004-01,35.03
2004-02,58.80
2004-03,43.09
2004-04,50.34
2004-05,41.80
2004-06,37.14
2004-07,49.52
2004-08,52.23
2004-09,45.77
2004-10,37.19
2004-11,51.42
2004-12,59.37
2005-01,41.23
2005-02,53.69
2005-03,51.25
2005-04,40.62
2005-05,54.92
2005-06,50.79
2005-07,49.16
2005-08,56.26
2005-09,50.04
2005-10,56.27
2005-11,62.98
2005-12,50.97
2006-01,52.11
2006-02,47.06
2006-03,57.61
2006-04,43.80
2006-05,47.40
2006-06,49.68
2006-07,49.09
2006-08,46.43
2006-09,54.39
2006-10,48.45
2006-11,39.24
2006-12,55.80
2007-01,58.65
2007-02,47.21
2007-03,56.79
2007-04,47.33
2007-05,45.03
2007-06,45.39
2007-07,58.19
2007-08,56.84
2007-09,53.48
2007-10,44.94
2007-11,54.00
2007-12,44.57
2008-01,53.13
2008-02,47.27
2008-03,47.15
2008-04,47.39
2008-05,39.63
2008-06,41.22
2008-07,49.25
2008-08,44.63
2008-09,54.11
2008-10,55.87
2008-11,42.20
2008-12,42.46
2009-01,49.15
2009-02,59.72
2009-03,46.05
2009-04,52.47
2009-05,41.71
2009-06,45.41
2009-07,52.36
2009-08,48.72
2009-09,52.42
2009-10,50.53
2009-11,49.83
2009-12,49.72
2010-01,56.75
2010-02,49.56
2010-03,54.19
2010-04,48.54
2010-05,50.33
2010-06,44.50
2010-07,39.37
2010-08,47.72
2010-09,50.32
2010-10,47.44
2010-11,52.53
2010-12,45.82
2011-01,42.84
2011-02,42.43
2011-03,53.07
2011-04,45.64
2011-05,49.80
2011-06,42.69
2011-07,45.40
2011-08,49.61
2011-09,55.09
2011-10,44.34
2011-11,42.41
2011-12,49.59
2012-01,50.41
2012-02,47.46
2012-03,55.72
2012-04,41.03
2012-05,45.50
2012-06,49.61
2012-07,45.22
2012-08,51.28
2012-09,49.62
2012-10,48.35
2012-11,61.65
2012-12,44.64
2013-01,48.28
2013-02,52.04
2013-03,45.83
2013-04,50.27
2013-05,53.87
2013-06,50.68
2013-07,53.31
2013-08,47.72
2013-09,48.29
2013-10,59.22
2013-11,51.97
2013-12,54.44
2014-01,46.34
2014-02,48.52
2014-03,55.43
2014-04,50.07
2014-05,43.40
2014-06,45.12
2014-07,49.28
2014-08,57.47
2014-09,52.30
2014-10,45.82
2014-11,49.55
2014-12,49.96
2015-01,41.28
2015-02,49.48
2015-03,47.90
2015-04,48.90
2015-05,45.18
2015-06,51.53
2015-07,47.59
2015-08,45.79
2015-09,58.93
2015-10,47.79
2015-11,42.84
2015-12,55.77
2016-01,56.72
2016-02,44.84
2016-03,47.49
2016-04,48.76
2016-05,47.64
2016-06,42.72
2016-07,44.24
2016-08,60.34
2016-09,46.59
2016-10,46.97
2016-11,53.49
2016-12,47.22
2017-01,46.27
2017-02,44.38
2017-03,52.27
2017-04,50.63
2017-05,55.21
2017-06,47.47
2017-07,56.12
2017-08,50.37
2017-09,46.95
2017-10,51.89
2017-11,51.35
2017-12,50.99
2018-01,45.84
2018-02,49.11
2018-03,48.63
2018-04,53.27
2018-05,56.04
2018-06,53.77
2018-07,53.35
2018-08,55.14
2018-09,55.79
2018-10,47.68
2018-11,43.80
2018-12,50.43
2019-01,57.18
2019-02,43.36
2019-03,44.84
2019-04,49.94
2019-05,46.87
2019-06,54.60
2019-07,50.03
2019-08,53.85
2019-09,51.14
2019-10,51.68
2019-11,43.76
2019-12,46.42
