month,K,K5,S,W
1926-07,2.89,,,
1926-08,2.64,,,
1926-09,0.38,,,
1926-10,-3.27,,,
1926-11,2.54,,,
1926-12,2.62,,,
1927-01,-0.05,,,
1927-02,4.17,,,
1927-03,0.14,,,
1927-04,0.47,,,
1927-05,5.45,,,
1927-06,-2.38,,,
1927-07,7.26,,,
1927-08,1.99,,,
1927-09,4.77,,,
1927-10,-4.29,,,
1927-11,6.52,,,
1927-12,2.09,,,
1928-01,-0.57,,,
1928-02,-1.69,,,
1928-03,8.79,,,
1928-04,4.25,,,
1928-05,1.52,,,
1928-06,-4.9,,,
1928-07,0.63,,,
1928-08,6.69,,,
1928-09,2.87,,,
1928-10,1.31,,,
1928-11,11.82,,,
1928-12,0.4,,,
1929-01,4.66,,,
1929-02,-0.34,,,
1929-03,-0.85,,,
1929-04,1.47,,,
1929-05,-6.38,,,
1929-06,9.7,,,
1929-07,4.48,,,
1929-08,8.14,,,
1929-09,-5.45,,,
1929-10,-20.07,,,
1929-11,-12.87,,,
1929-12,1.28,,,
1930-01,5.61,,,
1930-02,2.5,,,
1930-03,7.09,,,
1930-04,-2.05,,,
1930-05,-1.66,,,
1930-06,-16.08,,,
1930-07,4.12,,,
1930-08,0.3,,,
1930-09,-12.81,,,
1930-10,-8.78,,,
1930-11,-3.04,,,
1930-12,-7.86,,,
1931-01,6.25,,,
1931-02,10.88,,,
1931-03,-6.35,,,
1931-04,-10.0,,,
1931-05,-13.29,,,
1931-06,13.93,,,
1931-07,-6.63,,,
1931-08,0.4,,,
1931-09,-28.74,,,
1931-10,7.99,,,
1931-11,-9.14,,,
1931-12,-13.52,,,
1932-01,-1.57,,,
1932-02,5.45,,,
1932-03,-11.3,,,
1932-04,-17.94,,,
1932-05,-20.51,,,
1932-06,-0.77,,,
1932-07,33.61,,,
1932-08,37.12,,,
1932-09,-2.94,,,
1932-10,-13.15,,,
1932-11,-5.88,,,
1932-12,4.42,,,
1933-01,1.24,,,
1933-02,-15.29,,,
1933-03,3.06,,,
1933-04,38.81,,,
1933-05,21.43,,,
1933-06,13.1,,,
1933-07,-9.64,,,
1933-08,12.04,,,
1933-09,-10.65,,,
1933-10,-8.36,,,
1933-11,9.97,,,
1933-12,1.82,,,
1934-01,12.6,,,
1934-02,-2.51,,,
1934-03,0.09,,,
1934-04,-1.79,,,
1934-05,-7.26,,,
1934-06,2.71,,,
1934-07,-10.94,,,
1934-08,5.58,,,
1934-09,-0.24,,,
1934-10,-1.66,,,
1934-11,8.33,,,
1934-12,0.36,,,
1935-01,-3.46,,,
1935-02,-1.96,,,
1935-03,-3.71,,,
1935-04,9.06,,,
1935-05,3.46,,,
1935-06,5.93,,,
1935-07,7.54,,,
1935-08,2.65,,,
1935-09,2.62,,,
1935-10,7.03,,,
1935-11,4.87,,,
1935-12,4.55,,,
1936-01,6.89,,,
1936-02,2.49,,,
1936-03,0.96,,,
1936-04,-8.14,,,
1936-05,5.19,,,
1936-06,2.4,,,
1936-07,6.68,,,
1936-08,0.99,,,
1936-09,0.97,,,
1936-10,7.1,,,
1936-11,3.26,,,
1936-12,0.2,,,
1937-01,3.35,,,
1937-02,1.08,,,
1937-03,-0.26,,,
1937-04,-7.36,,,
1937-05,-0.83,,,
1937-06,-4.23,,,
1937-07,8.91,,,
1937-08,-4.88,,,
1937-09,-13.62,,,
1937-10,-9.59,,,
1937-11,-8.33,,,
1937-12,-4.29,,,
1938-01,0.48,,,
1938-02,5.85,,,
1938-03,-23.91,,,
1938-04,14.48,,,
1938-05,-3.86,,,
1938-06,23.89,,,
1938-07,7.33,,,
1938-08,-2.68,,,
1938-09,0.83,,,
1938-10,7.8,,,
1938-11,-1.74,,,
1938-12,4.16,,,
1939-01,-5.97,,,
1939-02,3.51,,,
1939-03,-12.03,,,
1939-04,-0.18,,,
1939-05,6.81,,,
1939-06,-5.33,,,
1939-07,10.22,,,
1939-08,-6.68,,,
1939-09,16.89,,,
1939-10,-0.53,,,
1939-11,-3.65,,,
1939-12,2.93,,,
1940-01,-2.41,,,
1940-02,1.44,,,
1940-03,2.05,,,
1940-04,0.22,,,
1940-05,-22.0,,,
1940-06,6.69,,,
1940-07,3.17,,,
1940-08,2.21,,,
1940-09,2.39,,,
1940-10,3.03,,,
1940-11,-1.65,,,
1940-12,0.69,,,
1941-01,-4.18,,,
1941-02,-1.43,,,
1941-03,0.84,,,
1941-04,-5.46,,,
1941-05,1.37,,,
1941-06,5.83,,,
1941-07,5.87,,,
1941-08,-0.17,,,
1941-09,-0.88,,,
1941-10,-5.26,,,
1941-11,-1.95,,,
1941-12,-4.88,,,
1942-01,0.79,,,
1942-02,-2.46,,,
1942-03,-6.6,,,
1942-04,-4.37,,,
1942-05,5.96,,,
1942-06,2.68,,,
1942-07,3.51,,,
1942-08,1.8,,,
1942-09,2.62,,,
1942-10,6.82,,,
1942-11,0.13,,,
1942-12,5.14,,,
1943-01,7.13,,,
1943-02,6.16,,,
1943-03,6.03,,,
1943-04,0.81,,,
1943-05,5.75,,,
1943-06,1.82,,,
1943-07,-4.78,,,
1943-08,1.3,,,
1943-09,2.4,,,
1943-10,-1.15,,,
1943-11,-5.93,,,
1943-12,6.37,,,
1944-01,1.74,,,
1944-02,0.37,,,
1944-03,2.46,,,
1944-04,-1.69,,,
1944-05,5.08,,,
1944-06,5.51,,,
1944-07,-1.49,,,
1944-08,1.56,,,
1944-09,0.02,,,
1944-10,0.16,,,
1944-11,1.71,,,
1944-12,4.04,,,
1945-01,2.01,,,
1945-02,6.23,,,
1945-03,-3.91,,,
1945-04,7.8,,,
1945-05,1.74,,,
1945-06,0.39,,,
1945-07,-2.17,,,
1945-08,6.22,,,
1945-09,4.77,,,
1945-10,3.89,,,
1945-11,5.4,,,
1945-12,1.19,,,
1946-01,6.24,,,
1946-02,-5.84,,,
